date,return,cumulative
2025-05-19,0.08138246326728082,0.08138246326728082
2025-05-20,0.0,0.08138246326728082
2025-05-21,0.04399646535626278,0.12895946934928992
2025-05-22,0.0,0.12895946934928992
2025-05-23,-4.218453541127154e-05,0.1289118447185773
2025-05-24,0.0,0.1289118447185773
2025-05-25,0.0,0.1289118447185773
2025-05-26,0.0,0.1289118447185773
2025-05-27,0.0,0.1289118447185773
2025-05-28,0.0,0.1289118447185773
2025-05-29,0.0,0.1289118447185773
2025-05-30,0.0,0.1289118447185773
2025-05-31,0.0,0.1289118447185773
2025-06-01,-0.02605274035137728,0.09950059754852991
2025-06-02,0.0,0.09950059754852991
2025-06-03,0.0,0.09950059754852991
2025-06-04,0.05877707879876182,0.1641260308099255
2025-06-05,0.0,0.1641260308099255
2025-06-06,0.0,0.1641260308099255
2025-06-07,0.0,0.1641260308099255
2025-06-08,0.0,0.1641260308099255
2025-06-09,0.0,0.1641260308099255
2025-06-10,0.0,0.1641260308099255
2025-06-11,0.0,0.1641260308099255
2025-06-12,0.0,0.1641260308099255
2025-06-13,0.07161856794098109,0.2474990700393509
2025-06-14,-0.0001909855206830846,0.24726081577990766
2025-06-15,0.0,0.24726081577990766
2025-06-16,0.0,0.24726081577990766
2025-06-17,0.015258077694763283,0.2662916182127113
2025-06-18,-0.001159698497507966,0.26482310172566303
2025-06-19,0.0,0.26482310172566303
2025-06-20,0.0,0.26482310172566303
2025-06-21,-0.001252297782467382,0.26323916656015856
2025-06-22,0.012756009511683208,0.2793530573843308
2025-06-23,0.0,0.2793530573843308
2025-06-24,-0.006255981062913918,0.27134944888455337
2025-06-25,0.03742244598741262,0.31892645496656247
2025-06-26,-0.005872271334148471,0.31118136095321236
2025-06-27,0.0,0.31118136095321236
2025-06-28,-7.271663890784374e-05,0.31108601625164534
2025-06-29,0.0,0.31108601625164534
2025-06-30,0.03626325881046055,0.35863026778175433
2025-07-01,-0.017754511225136937,0.33450845144161234
2025-07-02,0.0,0.33450845144161234
2025-07-03,0.014203262247530102,0.35346282494898285
2025-07-04,0.0,0.35346282494898285
2025-07-05,-0.004402504451631706,0.3475041988370269
2025-07-06,0.0,0.3475041988370269
2025-07-07,0.011791893534409237,0.36339382488688243
2025-07-08,0.02093760667544009,0.3919400285360879
2025-07-09,0.0,0.3919400285360879
2025-07-10,0.0,0.3919400285360879
2025-07-11,0.0,0.3919400285360879
2025-07-12,-0.007492822460666404,0.381510469026372
2025-07-13,0.0,0.381510469026372
2025-07-14,-0.02066303823909743,0.3529642653771665
2025-07-15,0.0,0.3529642653771665
2025-07-16,0.013923924369094731,0.3718028374823661
2025-07-17,0.0,0.3718028374823661
2025-07-18,0.0,0.3718028374823661
2025-07-19,-0.0017088376095684144,0.36945864920076366
2025-07-20,0.0,0.36945864920076366
2025-07-21,0.017047204883105183,0.3928040913726296
2025-07-22,0.0,0.3928040913726296
2025-07-23,0.0,0.3928040913726296
2025-07-24,0.0,0.3928040913726296
2025-07-25,0.0,0.3928040913726296
2025-07-26,-0.0018632264499579554,0.39020898194997455
2025-07-27,0.0,0.39020898194997455
2025-07-28,0.0,0.39020898194997455
2025-07-29,0.0,0.39020898194997455
2025-07-30,-0.0005807595112937713,0.38940160486102116
2025-07-31,0.013504768483127316,0.4081651518647549
2025-08-01,-0.00148912979054161,0.40606821118711056
2025-08-02,0.0,0.40606821118711056
2025-08-03,0.0,0.40606821118711056
2025-08-04,0.0,0.40606821118711056
2025-08-05,0.0,0.40606821118711056
2025-08-06,0.03216407573486668,0.4512930956201213
2025-08-07,0.0,0.4512930956201213
2025-08-08,0.05462873085292452,0.5305753955294605
2025-08-09,0.0,0.5305753955294605
2025-08-10,0.0,0.5305753955294605
2025-08-11,0.0,0.5305753955294605
2025-08-12,0.0,0.5305753955294605
2025-08-13,0.0,0.5305753955294605
2025-08-14,0.0,0.5305753955294605
2025-08-15,-0.009347097002520122,0.516268958837776
2025-08-16,0.0,0.516268958837776
2025-08-17,0.01762588288432676,0.5429945379273908
2025-08-18,0.0,0.5429945379273908
2025-08-19,0.0,0.5429945379273908
2025-08-20,0.0,0.5429945379273908
2025-08-21,0.0,0.5429945379273908
2025-08-22,0.0,0.5429945379273908
2025-08-23,0.0,0.5429945379273908
2025-08-24,0.01316029181641909,0.563300796317656
2025-08-25,0.0,0.563300796317656
2025-08-26,0.0,0.563300796317656
2025-08-27,0.0,0.563300796317656
2025-08-28,0.0,0.563300796317656
2025-08-29,0.0,0.563300796317656
2025-08-30,0.0,0.563300796317656
2025-08-31,0.0,0.563300796317656
2025-09-01,0.007517941287356278,0.5750535999188493
2025-09-02,0.0,0.5750535999188493
2025-09-03,-3.632055502311715e-05,0.5749963930979092
2025-09-04,0.0,0.5749963930979092
2025-09-05,-0.00018307692174390766,0.574708047606503
2025-09-06,0.0,0.574708047606503
2025-09-07,0.0,0.574708047606503
2025-09-08,0.0,0.574708047606503
2025-09-09,0.0,0.574708047606503
2025-09-10,0.0,0.574708047606503
2025-09-11,0.01208528937267439,0.5937388500393066
2025-09-12,0.0,0.5937388500393066
2025-09-13,0.0,0.5937388500393066
2025-09-14,0.0,0.5937388500393066
2025-09-15,0.0,0.5937388500393066
2025-09-16,-0.0003266328293806131,0.5932182826094246
2025-09-17,0.0,0.5932182826094246
2025-09-18,0.0,0.5932182826094246
2025-09-19,0.029862201935120902,0.6407952886914337
2025-09-20,0.0,0.6407952886914337
2025-09-21,0.0,0.6407952886914337
2025-09-22,0.0,0.6407952886914337
2025-09-23,0.0,0.6407952886914337
